,Unnamed: 0.1,Unnamed: 0,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome
268,268,271,HEMPSTEAD UFSD,78,10,21489.7,6825,3624,3201,98.5,107137.0
269,269,272,HENDRICK HUDSON CSD,94,1,28567.9,2267,1146,1121,44.2,105085.0
270,270,273,HERKIMER CSD,82,9,16820.51,1059,550,509,10.7,57833.3
271,271,274,HERMON-DEKALB CSD,91,6,21992.93,391,201,190,3.8,50376.5
272,272,275,HERRICKS UFSD,97,0,25834.33,4007,2067,1940,75.3,160936.3
273,273,276,HEUVELTON CSD,75,8,21354.54,504,260,244,4.0,50010.7
274,274,277,HEWLETT-WOODMERE UFSD,95,1,32708.8,2854,1511,1343,37.6,133385.8
275,275,278,HICKSVILLE UFSD,92,4,21799.6,5272,2747,2525,74.2,133881.8
276,276,279,HIGHLAND CSD,93,4,22380.21,1666,840,826,30.3,66984.0
277,277,280,HIGHLAND FALLS CSD,87,8,23505.03,962,474,488,41.9,102260.4
278,278,281,HILTON CSD,94,1,15641.88,4295,2219,2076,12.0,66139.1
279,279,282,HINSDALE CSD,77,20,20616.41,387,175,212,8.5,50180.5
280,280,283,HOLLAND CSD,95,2,18196.59,829,432,397,4.7,67787.8
281,281,284,HOLLAND PATENT CSD,88,5,18430.98,1298,679,619,1.1,72809.5
282,282,285,HOLLEY CSD,94,2,19510.21,902,444,458,16.2,59784.2
283,283,286,HOMER CSD,88,6,18818.88,1831,951,880,6.7,75074.7
284,284,287,HONEOYE CSD,94,0,23910.02,569,311,258,3.3,66354.9
285,285,288,HONEOYE FALLS-LIMA CSD,94,2,17749.56,2122,1136,986,8.1,84392.4
286,286,289,HOOSIC VALLEY CSD,92,3,18681.68,931,486,445,4.2,79609.8
287,287,290,HOOSICK FALLS CSD,90,3,18103.91,1064,548,516,8.1,71795.4
288,288,292,HORNELL CITY SCHOOL DISTRICT,86,4,18297.48,1528,754,774,14.8,47783.0
289,289,293,HORSEHEADS CSD,92,3,16537.38,3842,1956,1886,13.2,60256.2
290,290,294,HUDSON CITY SCHOOL DISTRICT,80,7,24261.33,1617,810,807,60.0,65495.2
