,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
327,LANCASTER,95,0,14140.1,5631,2874,2757,8.6,90265.0,Yes
328,LANSING,90,1,21726.47,1187,602,585,19.8,88546.0,
329,LANSINGBURGH,85,9,18039.45,2110,1134,976,43.8,76127.0,No
330,LAURENS,84,8,23669.72,301,141,160,11.6,72141.0,
331,LAWRENCE,78,11,27720.33,2446,1289,1157,87.4,155657.0,Yes
332,LEROY,90,5,16863.6,1176,583,593,8.2,77077.0,
333,LETCHWORTH,94,0,17015.69,893,464,429,4.0,61623.0,
334,LEVITTOWN,94,1,26952.8,7102,3635,3467,36.4,153635.0,No
335,LEWISTON-PORTER,92,4,18690.08,1920,1004,916,9.2,81626.0,Yes
336,LIBERTY,77,14,23182.34,1694,876,818,58.3,73859.0,
337,LINDENHURST,91,4,23636.09,5674,2882,2792,34.9,113116.0,No
338,LISBON,92,0,20676.12,559,282,277,2.5,70103.0,
339,LITTLEFALLS,79,17,19877.83,1073,546,527,10.0,68346.0,
340,LITTLEFLOWER,—,—,,97,64,33,50.5,,
341,LIVERPOOL,84,5,18169.54,6927,3478,3449,28.7,85923.0,No
342,LIVINGSTONMANOR,74,10,30012.19,410,191,219,20.5,81630.0,
343,LIVONIA,98,1,19693.89,1449,767,682,5.9,82357.0,
344,LOCKPORT,89,2,18128.21,4328,2206,2122,29.5,76262.0,No
345,LOCUSTVALLEY,97,0,37089.06,2012,1028,984,26.8,225444.0,
346,LONGBEACH,97,1,31355.75,3613,1879,1734,41.9,157673.0,
347,LONGLAKE,—,—,52830.45,59,32,27,5.1,65617.0,
